0.000891521 {:process 0, :type :invoke, :f :read, :value nil}
0.176212 {:process 0, :type :ok, :f :read, :value 22}
0.177758 {:process 0, :type :invoke, :f :write, :value 62}
0.344345 {:process 0, :type :ok, :f :write, :value 62}
0.356555 {:process 0, :type :invoke, :f :read, :value nil}
0.532667 {:process 0, :type :ok, :f :read, :value 12}
0.569617 {:process 0, :type :invoke, :f :write, :value 18}
0.731361 {:process 0, :type :ok, :f :write, :value 18}
0.776151 {:process 0, :type :invoke, :f :read, :value nil}
0.952517 {:process 0, :type :ok, :f :read, :value 92}
0.987295 {:process 0, :type :invoke, :f :read, :value nil}
1.16737 {:process 0, :type :ok, :f :read, :value 59}
1.16895 {:process 0, :type :invoke, :f :read, :value nil}
1.33911 {:process 0, :type :ok, :f :read, :value 97}
1.33946 {:process 0, :type :invoke, :f :write, :value 47}
1.49653 {:process 0, :type :ok, :f :write, :value 47}
1.5213 {:process 0, :type :invoke, :f :read, :value nil}
1.69514 {:process 0, :type :ok, :f :read, :value 45}
1.73493 {:process 0, :type :invoke, :f :read, :value nil}
1.88758 {:process 0, :type :ok, :f :read, :value 10}
1.95044 {:process 0, :type :invoke, :f :write, :value 56}
2.10925 {:process 0, :type :ok, :f :write, :value 56}
2.16348 {:process 0, :type :invoke, :f :write, :value 25}
2.34387 {:process 0, :type :ok, :f :write, :value 25}
2.37795 {:process 0, :type :invoke, :f :read, :value nil}
2.54261 {:process 0, :type :ok, :f :read, :value 44}
2.54302 {:process 0, :type :invoke, :f :write, :value 84}
2.71142 {:process 0, :type :ok, :f :write, :value 84}
2.71972 {:process 0, :type :invoke, :f :read, :value nil}
2.89404 {:process 0, :type :ok, :f :read, :value 84}
2.89547 {:process 0, :type :invoke, :f :read, :value nil}
3.07171 {:process 0, :type :ok, :f :read, :value 20}
3.07327 {:process 0, :type :invoke, :f :read, :value nil}
3.26925 {:process 0, :type :ok, :f :read, :value 64}
3.28589 {:process 0, :type :invoke, :f :read, :value nil}
3.46758 {:process 0, :type :ok, :f :read, :value 71}
3.50245 {:process 0, :type :invoke, :f :write, :value 15}
3.66317 {:process 0, :type :ok, :f :write, :value 15}
3.66545 {:process 0, :type :invoke, :f :write, :value 17}
3.83734 {:process 0, :type :ok, :f :write, :value 17}
0.000365686 {:process 0, :type :invoke, :f :write, :value 67}
0.176398 {:process 0, :type :ok, :f :write, :value 67}
0.176548 {:process 0, :type :invoke, :f :write, :value 27}
0.340542 {:process 0, :type :ok, :f :write, :value 27}
0.344718 {:process 0, :type :invoke, :f :read, :value nil}
0.514055 {:process 0, :type :ok, :f :read, :value 36}
0.514743 {:process 0, :type :invoke, :f :write, :value 20}
0.716196 {:process 0, :type :ok, :f :write, :value 20}
0.716609 {:process 0, :type :invoke, :f :write, :value 89}
0.885771 {:process 0, :type :ok, :f :write, :value 89}
0.912543 {:process 0, :type :invoke, :f :write, :value 19}
1.08288 {:process 0, :type :ok, :f :write, :value 19}
1.14381 {:process 0, :type :invoke, :f :write, :value 61}
1.30305 {:process 0, :type :ok, :f :write, :value 61}
1.34476 {:process 0, :type :invoke, :f :read, :value nil}
1.50468 {:process 0, :type :ok, :f :read, :value 32}
1.50531 {:process 0, :type :invoke, :f :write, :value 56}
1.70186 {:process 0, :type :ok, :f :write, :value 56}
1.71364 {:process 0, :type :invoke, :f :write, :value 47}
1.87476 {:process 0, :type :ok, :f :write, :value 47}
1.91078 {:process 0, :type :invoke, :f :write, :value 86}
2.08441 {:process 0, :type :ok, :f :write, :value 86}
2.12378 {:process 0, :type :invoke, :f :write, :value 20}
2.2931 {:process 0, :type :ok, :f :write, :value 20}
2.3544 {:process 0, :type :invoke, :f :write, :value 95}
2.51971 {:process 0, :type :ok, :f :write, :value 95}
2.54797 {:process 0, :type :invoke, :f :write, :value 72}
2.70646 {:process 0, :type :ok, :f :write, :value 72}
2.7069 {:process 0, :type :invoke, :f :write, :value 15}
2.88946 {:process 0, :type :ok, :f :write, :value 15}
2.90318 {:process 0, :type :invoke, :f :write, :value 17}
3.11982 {:process 0, :type :ok, :f :write, :value 17}
3.12019 {:process 0, :type :invoke, :f :write, :value 67}
3.30759 {:process 0, :type :ok, :f :write, :value 67}
3.32602 {:process 0, :type :invoke, :f :write, :value 81}
3.48654 {:process 0, :type :ok, :f :write, :value 81}
3.54045 {:process 0, :type :invoke, :f :write, :value 50}
3.69532 {:process 0, :type :ok, :f :write, :value 50}
3.75475 {:process 0, :type :invoke, :f :write, :value 15}
3.9142 {:process 0, :type :ok, :f :write, :value 15}
0.000368701 {:process 0, :type :invoke, :f :read, :value nil}
0.164312 {:process 0, :type :ok, :f :read, :value 84}
0.164869 {:process 0, :type :invoke, :f :read, :value nil}
0.335523 {:process 0, :type :ok, :f :read, :value 84}
0.335906 {:process 0, :type :invoke, :f :read, :value nil}
0.496289 {:process 0, :type :ok, :f :read, :value 84}
0.499606 {:process 0, :type :invoke, :f :read, :value nil}
0.663684 {:process 0, :type :ok, :f :read, :value 12}
0.66406 {:process 0, :type :invoke, :f :read, :value nil}
0.841512 {:process 0, :type :ok, :f :read, :value 36}
0.848404 {:process 0, :type :invoke, :f :read, :value nil}
1.01214 {:process 0, :type :ok, :f :read, :value 36}
1.02823 {:process 0, :type :invoke, :f :read, :value nil}
1.18611 {:process 0, :type :ok, :f :read, :value 36}
1.20759 {:process 0, :type :invoke, :f :read, :value nil}
1.38435 {:process 0, :type :ok, :f :read, :value 20}
1.38568 {:process 0, :type :invoke, :f :write, :value 22}
1.56311 {:process 0, :type :ok, :f :write, :value 22}
1.56377 {:process 0, :type :invoke, :f :read, :value nil}
1.72664 {:process 0, :type :ok, :f :read, :value 73}
1.7269 {:process 0, :type :invoke, :f :write, :value 31}
1.89285 {:process 0, :type :ok, :f :write, :value 31}
1.89584 {:process 0, :type :invoke, :f :read, :value nil}
2.06097 {:process 0, :type :ok, :f :read, :value 47}
2.06132 {:process 0, :type :invoke, :f :read, :value nil}
2.23152 {:process 0, :type :ok, :f :read, :value 47}
2.23192 {:process 0, :type :invoke, :f :read, :value nil}
2.40033 {:process 0, :type :ok, :f :read, :value 47}
2.40047 {:process 0, :type :invoke, :f :read, :value nil}
2.5632 {:process 0, :type :ok, :f :read, :value 47}
2.56357 {:process 0, :type :invoke, :f :read, :value nil}
2.72537 {:process 0, :type :ok, :f :read, :value 47}
2.72577 {:process 0, :type :invoke, :f :read, :value nil}
2.88708 {:process 0, :type :ok, :f :read, :value 47}
2.88862 {:process 0, :type :invoke, :f :read, :value nil}
3.0522 {:process 0, :type :ok, :f :read, :value 47}
3.05258 {:process 0, :type :invoke, :f :read, :value nil}
3.22234 {:process 0, :type :ok, :f :read, :value 37}
3.22367 {:process 0, :type :invoke, :f :read, :value nil}
3.39051 {:process 0, :type :ok, :f :read, :value 37}
