0.000583949 {:process 1, :type :invoke, :f :write, :value 35}
0.35764 {:process 1, :type :ok, :f :write, :value 35}
0.358796 {:process 1, :type :invoke, :f :read, :value nil}
0.839517 {:process 1, :type :ok, :f :read, :value 29}
0.840003 {:process 1, :type :invoke, :f :write, :value 26}
1.23354 {:process 1, :type :ok, :f :write, :value 26}
1.23396 {:process 1, :type :invoke, :f :write, :value 37}
1.59257 {:process 1, :type :ok, :f :write, :value 37}
1.59362 {:process 1, :type :invoke, :f :write, :value 36}
1.93265 {:process 1, :type :ok, :f :write, :value 36}
1.93303 {:process 1, :type :invoke, :f :write, :value 78}
2.27911 {:process 1, :type :ok, :f :write, :value 78}
2.28276 {:process 1, :type :invoke, :f :read, :value nil}
2.62326 {:process 1, :type :ok, :f :read, :value 50}
2.62415 {:process 1, :type :invoke, :f :write, :value 15}
2.96874 {:process 1, :type :ok, :f :write, :value 15}
2.96915 {:process 1, :type :invoke, :f :write, :value 37}
3.18598 {:process 1, :type :ok, :f :write, :value 37}
3.18845 {:process 1, :type :invoke, :f :write, :value 43}
3.53225 {:process 1, :type :ok, :f :write, :value 43}
3.53258 {:process 1, :type :invoke, :f :write, :value 84}
3.87749 {:process 1, :type :ok, :f :write, :value 84}
3.87882 {:process 1, :type :invoke, :f :write, :value 89}
4.21974 {:process 1, :type :ok, :f :write, :value 89}
4.22073 {:process 1, :type :invoke, :f :read, :value nil}
4.43181 {:process 1, :type :ok, :f :read, :value 66}
4.43538 {:process 1, :type :invoke, :f :write, :value 22}
4.77975 {:process 1, :type :ok, :f :write, :value 22}
4.78072 {:process 1, :type :invoke, :f :write, :value 49}
5.1286 {:process 1, :type :ok, :f :write, :value 49}
5.12903 {:process 1, :type :invoke, :f :write, :value 11}
5.49236 {:process 1, :type :ok, :f :write, :value 11}
5.49274 {:process 1, :type :invoke, :f :write, :value 65}
5.8411 {:process 1, :type :ok, :f :write, :value 65}
5.84152 {:process 1, :type :invoke, :f :write, :value 93}
6.21138 {:process 1, :type :ok, :f :write, :value 93}
6.21177 {:process 1, :type :invoke, :f :write, :value 63}
6.42847 {:process 1, :type :ok, :f :write, :value 63}
6.43014 {:process 1, :type :invoke, :f :write, :value 84}
6.77842 {:process 1, :type :ok, :f :write, :value 84}
6.77861 {:process 1, :type :invoke, :f :write, :value 44}
7.11868 {:process 1, :type :ok, :f :write, :value 44}
7.11972 {:process 1, :type :invoke, :f :write, :value 62}
7.4801 {:process 1, :type :ok, :f :write, :value 62}
7.48228 {:process 1, :type :invoke, :f :write, :value 85}
7.81411 {:process 1, :type :ok, :f :write, :value 85}
7.81556 {:process 1, :type :invoke, :f :write, :value 18}
8.16003 {:process 1, :type :ok, :f :write, :value 18}
8.16146 {:process 1, :type :invoke, :f :write, :value 60}
8.49384 {:process 1, :type :ok, :f :write, :value 60}
8.49634 {:process 1, :type :invoke, :f :write, :value 64}
8.72244 {:process 1, :type :ok, :f :write, :value 64}
8.73108 {:process 1, :type :invoke, :f :write, :value 25}
9.07594 {:process 1, :type :ok, :f :write, :value 25}
9.07636 {:process 1, :type :invoke, :f :write, :value 22}
9.43293 {:process 1, :type :ok, :f :write, :value 22}
9.43324 {:process 1, :type :invoke, :f :write, :value 28}
9.78407 {:process 1, :type :ok, :f :write, :value 28}
9.78446 {:process 1, :type :invoke, :f :write, :value 05}
10.2603 {:process 1, :type :ok, :f :write, :value 05}
10.2607 {:process 1, :type :invoke, :f :write, :value 46}
10.5946 {:process 1, :type :ok, :f :write, :value 46}
10.5951 {:process 1, :type :invoke, :f :write, :value 72}
10.9231 {:process 1, :type :ok, :f :write, :value 72}
10.9235 {:process 1, :type :invoke, :f :read, :value nil}
11.2923 {:process 1, :type :ok, :f :read, :value 06}
11.2953 {:process 1, :type :invoke, :f :write, :value 40}
11.6502 {:process 1, :type :ok, :f :write, :value 40}
11.6512 {:process 1, :type :invoke, :f :write, :value 38}
11.9797 {:process 1, :type :ok, :f :write, :value 38}
11.9808 {:process 1, :type :invoke, :f :write, :value 00}
12.3193 {:process 1, :type :ok, :f :write, :value 00}
12.3203 {:process 1, :type :invoke, :f :write, :value 98}
12.6619 {:process 1, :type :ok, :f :write, :value 98}
12.6631 {:process 1, :type :invoke, :f :write, :value 02}
13.0006 {:process 1, :type :ok, :f :write, :value 02}
13.0016 {:process 1, :type :invoke, :f :write, :value 99}
13.332 {:process 1, :type :ok, :f :write, :value 99}
13.3329 {:process 1, :type :invoke, :f :write, :value 87}
13.6091 {:process 1, :type :ok, :f :write, :value 87}
13.6094 {:process 1, :type :invoke, :f :write, :value 29}
13.9404 {:process 1, :type :ok, :f :write, :value 29}
13.9415 {:process 1, :type :invoke, :f :write, :value 05}
14.313 {:process 1, :type :ok, :f :write, :value 05}
14.3134 {:process 1, :type :invoke, :f :write, :value 83}
14.6506 {:process 1, :type :ok, :f :write, :value 83}
14.651 {:process 1, :type :invoke, :f :write, :value 19}
15.0143 {:process 1, :type :ok, :f :write, :value 19}
15.0153 {:process 1, :type :invoke, :f :write, :value 36}
15.3555 {:process 1, :type :ok, :f :write, :value 36}
15.356 {:process 1, :type :invoke, :f :write, :value 43}
15.6919 {:process 1, :type :ok, :f :write, :value 43}
15.6923 {:process 1, :type :invoke, :f :write, :value 69}
16.0284 {:process 1, :type :ok, :f :write, :value 69}
16.0295 {:process 1, :type :invoke, :f :write, :value 88}
16.36 {:process 1, :type :ok, :f :write, :value 88}
16.3604 {:process 1, :type :invoke, :f :write, :value 38}
16.5937 {:process 1, :type :ok, :f :write, :value 38}
16.594 {:process 1, :type :invoke, :f :write, :value 68}
16.9486 {:process 1, :type :ok, :f :write, :value 68}
16.9489 {:process 1, :type :invoke, :f :read, :value nil}
17.3014 {:process 1, :type :ok, :f :read, :value 06}
17.3017 {:process 1, :type :invoke, :f :write, :value 52}
17.6335 {:process 1, :type :ok, :f :write, :value 52}
17.6339 {:process 1, :type :invoke, :f :read, :value nil}
17.9718 {:process 1, :type :ok, :f :read, :value 58}
17.9729 {:process 1, :type :invoke, :f :read, :value nil}
18.3039 {:process 1, :type :ok, :f :read, :value 10}
18.3043 {:process 1, :type :invoke, :f :write, :value 92}
18.6854 {:process 1, :type :ok, :f :write, :value 92}
18.6858 {:process 1, :type :invoke, :f :write, :value 15}
18.9009 {:process 1, :type :ok, :f :write, :value 15}
18.9164 {:process 1, :type :invoke, :f :write, :value 94}
19.2677 {:process 1, :type :ok, :f :write, :value 94}
19.268 {:process 1, :type :invoke, :f :write, :value 19}
19.6128 {:process 1, :type :ok, :f :write, :value 19}
19.6131 {:process 1, :type :invoke, :f :write, :value 90}
19.9433 {:process 1, :type :ok, :f :write, :value 90}
19.9446 {:process 1, :type :invoke, :f :write, :value 20}
20.2811 {:process 1, :type :ok, :f :write, :value 20}
20.2823 {:process 1, :type :invoke, :f :write, :value 67}
20.6074 {:process 1, :type :ok, :f :write, :value 67}
20.6076 {:process 1, :type :invoke, :f :write, :value 85}
20.9536 {:process 1, :type :ok, :f :write, :value 85}
20.954 {:process 1, :type :invoke, :f :write, :value 64}
21.3204 {:process 1, :type :ok, :f :write, :value 64}
21.3206 {:process 1, :type :invoke, :f :write, :value 01}
21.5429 {:process 1, :type :ok, :f :write, :value 01}
21.5442 {:process 1, :type :invoke, :f :write, :value 26}
21.8985 {:process 1, :type :ok, :f :write, :value 26}
21.8993 {:process 1, :type :invoke, :f :write, :value 90}
22.2199 {:process 1, :type :ok, :f :write, :value 90}
22.2208 {:process 1, :type :invoke, :f :write, :value 78}
22.55 {:process 1, :type :ok, :f :write, :value 78}
22.5504 {:process 1, :type :invoke, :f :write, :value 09}
22.8836 {:process 1, :type :ok, :f :write, :value 09}
22.8846 {:process 1, :type :invoke, :f :write, :value 38}
23.2323 {:process 1, :type :ok, :f :write, :value 38}
23.2339 {:process 1, :type :invoke, :f :write, :value 41}
23.5834 {:process 1, :type :ok, :f :write, :value 41}
23.5835 {:process 1, :type :invoke, :f :write, :value 43}
23.9125 {:process 1, :type :ok, :f :write, :value 43}
23.9127 {:process 1, :type :invoke, :f :write, :value 99}
24.2656 {:process 1, :type :ok, :f :write, :value 99}
24.2659 {:process 1, :type :invoke, :f :write, :value 20}
24.6217 {:process 1, :type :ok, :f :write, :value 20}
24.6229 {:process 1, :type :invoke, :f :write, :value 17}
24.8638 {:process 1, :type :ok, :f :write, :value 17}
24.8653 {:process 1, :type :invoke, :f :read, :value nil}
25.1881 {:process 1, :type :ok, :f :read, :value 11}
25.1884 {:process 1, :type :invoke, :f :write, :value 96}
25.4073 {:process 1, :type :ok, :f :write, :value 96}
